Month,Timepoint,Pool,Treatment,Heat,CO2,DayNight,Minimum,Maximum,Range,Median,Average,DailyAverage,Max90Perentile,Max95Percentile,Max99Percentile,Min10Percentile,DailyMaximum,Daily90MaxPercentile,Daily95MaxPercentile,Daily99MaxPercentile,DailyMinumim,DailyRange,Volume
March,0,Pool27,CO2 Addition,N,C,Day,-0.088,13.522,13.61,7.015,7.514407941,7.221953467,12.195,12.5724,13.07168,4.947,9.130035714,8.882896429,9.025801786,9.110273571,5.039678571,4.090357143,12.5
July,3,Pool27,CO2 Addition,N,C,Day,14.218,28.816,14.598,18.2,18.78992088,18.84065726,22.992,25.016,27.0015,15.676,22.68432258,22.10760645,22.4552,22.6470571,15.77393548,6.9103871,12.5
September,6,Pool27,CO2 Addition,N,C,Day,11.662,22.513,10.851,15.055,15.81207703,15.7140995,20.5718,21.366,22.25,12.823,18.38363636,17.93963636,18.14789545,18.31064591,13.43181818,4.95181818,12.5
March,0,Pool31,Unmanipulated,N,N,Day,-0.088,12.437,12.525,6.509,6.653456598,6.432223605,10.149,11.394,12.195,4.4488,8.333321429,8.012539286,8.158271429,8.277423929,4.927464286,3.405857143,6.5
July,3,Pool31,Unmanipulated,N,N,Day,14.074,26.94,12.866,17.653,18.35094818,18.38319865,22.465,23.881,26.012,15.509,21.97948387,21.4146,21.74406935,21.93215548,15.75609677,6.2233871,6.5
September,6,Pool31,Unmanipulated,N,N,Day,11.977,21.103,9.126,14.601,15.08398177,14.99658268,18.7398,19.8254,20.841,12.6132,17.17072727,16.79811364,16.99843409,17.13826318,13.47077273,3.69995454,6.5
March,0,Pool33,Warming,H,N,Day,-0.395,13.594,13.989,6.914,7.263057221,6.999908707,11.662,12.678,13.377,4.4748,9.148357143,8.806153571,8.983485714,9.105236429,4.842607143,4.30575,25
July,3,Pool33,Warming,H,N,Day,14.385,29.991,15.606,18.557,19.11723952,19.15817209,23.833,25.016,27.3945,15.509,23.45780645,22.78762903,23.16360968,23.40219613,15.78687097,7.67093548,25
September,6,Pool33,Warming,H,N,Day,12.05,23.833,11.783,15.33,16.1388309,16.03629882,21.056,22.154,23.40168,13.016,19.12831818,18.68225909,18.91511364,19.07477864,13.54840909,5.57990909,25
March,0,Pool35,CO2 Addition,N,C,Day,-1.242,10.565,11.807,6.737,6.381103542,6.10995963,9.336,9.903,10.345,2.4124,7.497321429,7.286971429,7.374107143,7.476743571,4.609964286,2.887357143,9
July,3,Pool35,CO2 Addition,N,C,Day,14.553,26.378,11.825,18.414,19.03990389,19.10221476,23.064,24.219,25.671,15.867,22.27293548,21.87646774,22.11095,22.24574613,16.18303226,6.08990322,9
September,6,Pool35,CO2 Addition,N,C,Day,11.856,20.365,8.509,15.008,15.4817917,15.40481372,18.747,19.103,19.746,13.233,17.11886364,16.85583182,16.98279773,17.08360273,13.61027273,3.50859091,9
March,0,Pool36,Warming + CO2,H,C,Day,-0.143,8.668,8.811,6.179,5.857987544,5.66503628,7.92,8.195,8.568,1.724,6.594357143,6.424892857,6.518380357,6.575630357,4.793107143,1.80125,19.5
July,3,Pool36,Warming + CO2,H,C,Day,14.625,25.744,11.119,18.937,19.19842206,19.24634162,22.848,23.713,24.992,16.034,22.089,21.77516774,21.95072903,22.06004258,16.64835484,5.44064516,19.5
September,6,Pool36,Warming + CO2,H,C,Day,11.953,20.055,8.102,14.984,15.32667502,15.25870359,18.057,18.771,19.603,13.209,17.10177273,16.88598636,17.01065227,17.07823818,13.67804545,3.42372728,19.5
March,0,Pool5,Warming + CO2,H,C,Night,1.317,11.102,9.785,6.102,5.989002426,6.116304335,8.319,9.139,10.271,3.142,7.449535714,7.089785714,7.280553571,7.413992857,5.21225,2.237285714,8
July,3,Pool5,Warming + CO2,H,C,Night,14.721,19.365,4.644,16.177,16.3567585,16.40008919,17.796,18.2,19.056,15.151,17.21170968,17.07672903,17.14275323,17.19733355,15.65258065,1.559129032,8
September,6,Pool5,Warming + CO2,H,C,Night,12.05,18.01,5.96,14.194,14.19596291,14.21921199,15.581,16.01,17.43636,12.751,15.49417857,15.20379643,15.36836607,15.46975214,13.25710714,2.237071429,8
March,0,Pool7,Unmanipulated,N,N,Night,-0.451,9.952,10.403,6.204,5.734326324,5.883122327,7.815,8.568,9.312,2.396,7.170464286,6.867792857,7.041192857,7.145073929,4.863857143,2.306607143,28
July,3,Pool7,Unmanipulated,N,N,Night,14.745,22.106,7.361,16.63,17.13958713,16.95992437,19.841,20.317,21.48932,15.414,17.79358065,17.62520323,17.68052581,17.77013452,16.19280645,1.600774194,28
September,6,Pool7,Unmanipulated,N,N,Night,11.662,17.653,5.991,13.81,14.03301698,14.05952385,15.366,15.986,17.00212,12.823,15.20078571,14.94468214,15.09667143,15.17926893,13.12735714,2.073428571,28
March,0,Pool8,Warming,H,N,Night,-0.591,10.59,11.181,5.924,5.544761019,5.690935041,7.82,8.941,9.928,2.236,7.469607143,6.9592,7.2474375,7.4254675,4.478642857,2.990964286,7
July,3,Pool8,Warming,H,N,Night,14.409,23.304,8.895,16.725,16.96320897,16.91309452,19.127,20.079,22.00842,15.175,18.05783871,17.83870645,17.93063226,18.03155871,15.91764516,2.140193548,7
September,6,Pool8,Warming,H,N,Night,10.883,20.126,9.243,14.074,14.05298928,14.07691245,15.605,16.153,17.75424,12.437,15.81407143,15.30184286,15.58700357,15.7724075,12.84314286,2.970928571,7
March,0,Pool9,CO2 Addition,N,C,Night,1.561,8.17,6.609,5.77,5.453464214,5.552706763,7.142,7.469,7.87,2.93,6.618785714,6.332725,6.469425,6.587485714,4.767964286,1.850821429,3
July,3,Pool9,CO2 Addition,N,C,Night,14.529,17.867,3.338,15.676,15.83996891,15.83739354,16.701,16.892,17.46714,15.079,16.32648387,16.23895161,16.27701452,16.31661806,15.32706452,0.999419355,3
September,6,Pool9,CO2 Addition,N,C,Night,11.443,15.724,4.281,13.81,13.85440036,13.8703084,14.888,15.151,15.509,12.896,14.63153571,14.44762143,14.53235179,14.61126179,13.15664286,1.474892857,3
March,0,Pool10,Unmanipulated,N,N,Night,1.153,8.643,7.49,5.77,5.379179539,5.486466286,7.237,7.494,8.177,2.584,6.722142857,6.363035714,6.540458929,6.684144286,4.637392857,2.08475,5.5
July,3,Pool10,Unmanipulated,N,N,Night,14.314,17.724,3.41,15.485,15.6092632,15.62070514,16.4822,16.654,17.25314,14.745,16.16193548,16.05259355,16.09713871,16.1479,15.11119355,1.050741935,5.5
